ก
กฏัตตากรรม	Kañattākamma
ขีณาสพ	Khīṇāsava
ขุททกนิกาย	Khuddakanikāya
ขุททกปาฐะ	Khuddakapāñha
“Text of Small Passages”; name of the first  division of the Khuddaka Nikāya.
ขุททกาปีติ	Khuddakāpīti
เข้าพรรษา ดู วันเข้าพรรษา.
เขี้ยวแก้ว ดู ทาฐธาตุ.
ค
คณะ	Gaṇa
คณปูรกะ	Gaṇapūraka
คณะวินัยธร	Vinayadhara-gaṇa, ~-samajjā*
คณะสงฆ์	Saṅgha
คณะสังฆมนตรี	Saṅghamanti-gaṇa, ~-samajjā*
คติ	Gati
คนธรรพ์	Gandhabba
ครองผ้า	Nivāseti, Pārupati
ครุกกรรม	Garukakamma
ครุฏฐานียบุคคล	Garuññhānīyapuggala
ครุธรรม	Garudhamma
คฤหัสถ์	Gahaññha
ควํ่ าบาตร, การ	Pattanikujjanā
คันถธุระ	Ganthadhura
คันธะ	Gandha
คัมภีร์	Gantha, Potthaka, Pakaraṇa
คาถา	Gāthā
คามวาสี	Gāmavāsī
คารวะ	Gārava
คิดปรุงแต่ง	Saṅkharoti; Abhisaṅkharoti
คิลานปัจจัย	Gilānapaccaya
คิลานเภสัช	Gilānabhesajja
คิหิปฏิบัติ	Gihipañipatti*
คุกเข่า	Jannukāhi nipatati
คุณ	Guṇa
คุณธรรม	Guṇadhamma
คุณพิเศษ, คุณวิเศษ	Visesa
คู่สวด	Upasampadācariya, Kammavācācariya +  Anusāvanācariya
เครื่องราง	Indajālikavatthu*
โคจร	Gocara
โคจรคาม	Gocaragāma
โคดม, โคตมะ	Gotama
โคตร	Gotta
ฆ–ง
ฆนสัญญา	Ghanasaññā
ฆราวาส	Gharāvāsa
ฆราวาสธรรม	Gharāvāsa-dhamma
ฆานะ	Ghāna
ฆานทวาร	Ghānadvāra
ฆานวิญญาณ	Ghānaviññāṇa
โฆสัปปมาณิกา	Ghosappamāṇikā
งานมงคล	Maṅgala, Maṅgala-samaya
งานวัด (Cetiyamahāpūjā*, Vihārasamajja*, 
~ussava*, ~maha*) temple fair.
งานศพ	Sarīrajjhāpana
งานสมรส	Vivāhakāla, Vivāhamaṅgala
งานอวมงคล	Avamaṅgala,  Petadakkhiṇādāna
จ
จงกรม	Caṅkama
จตุตถฌาน	Catutthajjhāna
จตุธาตุววัตถาน	Catudhātuvavatthāna
จตุปัจจัย	Catupaccaya
จตุรพิธพร	Catubbidhavara*
จตุราริยสัจจ์	Cattāri Ariyasaccāni
จตุวรรค	Catuvagga
จรณะ	Caraṇa
จริต	Carita
จริยาปิฎก	Cariyāpiñaka
จริยาวัตร	Cariyāvatta*
จักขุ, จักษุ	Cakkhu
จักขุทวาร	Cakkhudvāra
จักขุวิญญาณ	Cakkhuviññāṇa
จักร, จักรธรรม	Cakka
จักรพรรดิ	Cakkavatti
จักรวาฬ	Cakkavāḷa
จัณฑาล	Caṇóāla
จันทรคติ	Candagati*
จาคะ	Cāga
จาคสัมปทา	Cāgasampadā
จาคานุสติ	Cāgānussati
จาตุทสี	Cātuddasī
จาตุมหาราช	Cātummahārājikā
จาตุรงคสันนิบาต	Cāturaṅgasannipāta
จาริก	Cārika
จารึก	Likhati
จำพรรษา, การ	Vassāvāsa
จำวัด	Seyyaṁ kappeti
จิต, จิตต์	Citta
จิตกาธาน	Citakā
จิตตะ	Citta
จิตตนิยาม	Cittaniyāma
จิตตวิสุทธิ	Cittavisuddhi
จิตตสังขาร	Cittasaṅkhāra
จิตตานุปัสสนา	Cittānupassanā
จิตตุบาท, จิตตุปปาท	Cittuppāda
จินตมยปัญญา	Cintamayapaññā
จีวร	Cīvara
จีวรอธิษฐาน	Adhiññhitacīvara
จีวรอาศัย	Atirekacīvara
จุติ	Cuti
จุติจิต	Cuticitta
จุติวิญญาณ	Cutiviññāṇa
จุตูปปาตญาณ	Cutūpapātañāṇa
จุลลวรรค	Cullavagga
เจดีย์	Cetiya
เจตนา	Cetanā
เจตภูต	Attā, Jīva
เจตสิก	Cetasika
เจตสิกทุกข์	Cetasikadukkha
เจตสิกสุข	Cetasikasukha
เจโตปริยญาณ	Cetopariyañāṇa
เจโตวิมุตติ	Cetovimutti
เจริญพระพุทธมนต์	Parittabhaṇana
เจ้าคณะ	Gaṇādhipati*
เจ้าคณะจังหวัด	Nagarasaṅghapāmokkha*
เจ้าคณะตำบล	Gāmasamūhasaṅghādhipati*
เจ้าคณะภาค	Cūḷasaṅghamaṇóalapāmokkha*
เจ้าคณะใหญ่	Mahāsaṅghamaṇóalapāmokkha*
เจ้าคณะอำเภอ	Nigamasaṅghādhipati*
เจ้าคุณ	Guṇassāmī*
“Chao Khun”; “The Right Venerable”. ดู พระ- 
ราชาคณะ
เจ้าภาพ	Nimantaka, Dānapati
เจ้าอธิการ	Vihārādhipati*, Adhikārapati*
เจ้าอาวาส	Vihārapati*
เจิม	Abbhañjati
แจกัน	pupphādhāna*
แจง	Saṅgītikathā*
โจทก์	Codaka
โจทนา	Codanā
ฉ
ฉกามาพจรสวรรค์	Chakāmāvacaradevaloka
ฉลอง	Mahakamma
ฉฬภิญญา	Chaḷabhiññā
ฉัตร	Chatta
ฉัน	Bhuñjati
ฉันทะ	Chanda
ฉันท์	Chanda
ฉันทาคติ	Chandāgati
ฉัพพัณณรังสี	Chabbaṇṇaraṁsī
ฉายา	Chāyā
เฉวียง	Ekaṁsaṁ
ช
ชฎิล	Jañila
ชนกกรรม	Janakakamma
ชมพูทวีป	Jambūdīpa
ชรา	Jarā
ชลาพุชะ	Jalābuja
ชวนะ	Javana
ช่อฟา	Kaṇṇikā, Kūñapilandhana*
ชักผ้า ดู บังสุกุล, ผ้าป่า.
ชัยมงคลคาถา	Jayamaṅgalagāthā
ชาคริยานุโยค	Jāgariyānuyoga
ชาดก	Jātaka
ชาติ	Jāti
ชาติก่อน	Atītabhava
ชาติหน้า	Paraloka, punabbhava
ชินะ	Jina
ชินบุตร, ชิโนรส	Jinaputta, Jinorasa
ชิวหา	Jivhā
ชิวหาทวาร	Jivhādvāra
ชิวหาวิญญาณ	Jivhāviññāṇa
ชี	Muṇóakaupāsikā*
ชีวิต	Jīvita
ชีวิตินทรีย์	Jīvitindriya
ชุกชี	Mahāpañimā-patiññhāna
เชิงตะกอน ดู จิตกาธาน.
เชิงเทียน	Sitthadīpādhāra*
เชิงบาตร	Pattādhāraka
ฌ
ฌาน	Jhāna
ฌาปนกิจ	Jhāpanakicca
ฌาปนสถาน	Jhāpanaññhāna
ญ
ญัตติ, ญัติ	¥atti
ญาณ	¥āṇa
ญาณทัศนะ	¥āṇadassana
ญาณทัสสนวิสุทธิ	¥āṇadassana-visuddhi
ญาติ	¥āti
ญาติพลี	¥ātibali
ญาติสังคหะ	¥ātisaṅgaha
ญาติสาโลหิต	¥ātisālohita
ญายะ, ญายธรรม	¥āya
เญยยธรรม, ไญยธรรม	¥eyyadhamma
ฎ
ฎีกา	òīkā
ฐ
ฐาน	òhāna*
ฐานานุกรม	òhānānukkama*
ฐานานุศักดิ์	òhānānusatti
ฐิติ	òhiti, òhīti
ณ
เณร ดู สามเณร.
ด
ดวงตาเห็นธรรม ดู ธรรมจักษุ.
ดาบส	Tāpasa
ดาวดึงส์	Tāvatiṁsā
ดิรัจฉาน, กำเนิด ดู ติรัจฉานโยนิ.
ดุสิต	Tusitā
เด็กวัด	ârāmika; ârāmika-kumāra; Daharārāmika; Kappiyakāraka
เดียรถีย์	Titthiya
ต
ตจปัญจกกัมมัฏฐาน	Tacapañcaka-kammaññhāna
มูลกรรมฐาน ก็เรียก.
ตติยฌาน	Tatiyajjhāna
ตถาคต	Tathāgata
ตทังคปหาน	Tadaṅgapahāna
ตทังควิมุตติ	Tadaṅgavimutti
ตบะ	Tapa
ตรัสรู้	Bodhi
ตราตั้ง	Adhikārapañña*
สัญญาบัตร.
ตลกบาตร ดู ถลกบาตร.
ตักบาตร	Piṇóadāna
ตัชชนียกรรม	Tajjanīyakamma
ตัณหา	Taṇhā
ตัตรมัชฌัตตตา	Tatramajjhattatā
ตัสสปาปิยสิกา	Tassapāpiyasikā
ตาลปัตร	Tālapatta
ตำนาน	Vaṁsa
ติณวัตถารกวินัย	Tiṇavatthārakavinaya
ติรัจฉานกถา	Tiracchānakathā
ติรัจฉานโยนิ	Tiracchānayoni
ติรัจฉานวิชา	Tiracchānavijjā
ติสรณคมนูปสัมปทา	Tisaraṇagamanūpasampadā
เตโชกสิณ	Tejokasiṇa
เตโชธาตุ	Tejodhātu
เตวาจิก	Tevācika
โตะหมู่บูชา	Pūjanapīñha*
ไตรจีวร	Ticīvara
ไตรทวาร	Tidvāra
ไตรปิฎก	Tepiñaka
ไตรเพท	Tiveda
ไตรภพ, ไตรภูมิ	Tibhava, Tebhūmi
ไตรมาส	Temāsa
ไตรรัตน์	Ratanattaya
ไตรลักษณ์	Tilakkhaṇa
ลักษณะ.
ไตรโลก	Tiloka
ไตรสรณะ	Tisaraṇa
ไตรสรณคมน์	Tisaraṇagamana
ไตรสิกขา	Sikkhāttaya
ถ
ถลกบาตร	Pattathavikā
ถวาย	Deti
ถวายพระเพลิง	Sarīrajjhāpana
ถัมภะ	Thambha
ถาน	Vaccakuñī
ถีนะ	Thīna
ถีนมิทธะ	Thīnamiddha
ถุลลัจจัย	Thullaccaya
ถูปารหบุคคล	Thūpārahapuggala
เถน	Thena
เถยจิต	Theyyacitta
เถยเจตนา	Theyyacetanā
เถยสังวาส	Theyyasaṁvāsa
เถระ	Thera
เถรคาถา	Theragāthā
“Verses of the Elders”; name of the eighth  division of the Khuddaka Nikāya.
เถรวาท	Theravāda
เถรานุเถระ	Therānuthera
เถรี	Therī
เถรีคาถา	Therīgāthā
“Verses of the Women Elders”; name of the  ninth division of the Khuddaka Nikāya.
ท
ทธิ	Dadhi
ทมะ	Dama
ทวาร	Dvāra
ทศชาติ	Dasajāti
ทศบารมี	Dasapāramī
ทศพร	Dasavara
ทศพล	Dasabala
ทศพลญาณ	Dasabalañāṇa
ทศพิธราชธรรม	Dasarājadhamma
ทองคำเปลว	Suvaṇṇapatta
ทอดกฐิน ดู กฐิน.
ทอดผ้า [บังสุกุล]	Paṁsukūlacīvaranikkhipana
ทอดผ้าป่า ดู ผ้าป่า.
ทักขิณา, ทักษิณา	Dakkhiṇā
ทักขิณาวัฏ	Dakkhiṇāvañña
ทักขิโณทก	Dakkhiṇodaka
ทักขิไณยบุคคล, ทักขิเณยยบุคคล	Dakkhiṇeyyapuggala
ทักษิณนิกาย	Dakkhiṇanikāya
ทักษิณานุประทาน	Dakkhiṇānuppadāna*
ทัณฑกรรม	Daṇóakamma
ทัศนะ, ทรรศนะ, ทัสสนะ	Dassana
ทัฬหีกรรม	Daḷhīkamma
ทาฐธาตุ	Dāñhadhātu
ทาน	Dāna
ทานบดี	Dānapati
ทานมัย	Dānamaya
ทายก	Dāyaka
ทายิกา	Dāyikā
ทำนองสวด	Vatta, Bhāṇassara*
ทำบุญ	Puññakaraṇa
ทำบุญขึ้นบ้านใหม่	Gehapañhamaparibhogamaṅgala*, Gehappavesana-maṅgala*
ทำบุญบ้าน	Gehamaṅgala*
ทำวัตรคํ่ า, ทำวัตรเย็น	Sāyaṇha-sajjhāya*, Sāyabhāṇa*
ทำวัตรเช้า	Pubbaṇha-sajjhāya*, Pāta-bhāṇa*
ทิฏฐธรรม	Diññhadhamma
ทิฏฐธรรมเวทนียกรรม	Diññhadhammavedanīyakamma
ทิฏฐธัมมิกัตถะ	Diññhadhammikattha
ทิฏฐาวิกัมม์	Diññhāvikamma
ทิฏฐิ, ทิฐิ	Diññhi
ทิฏฐิวิสุทธิ	Diññhivisuddhi
ทิฏฐิสามัญญตา	Diññhi-sāmaññatā
ทิฏุชุกรรม	Diññhujukamma
ทิฏุปาทาน	Diññhupādāna
ทิพพจักขุ	Dibbacakkhu
ทิพพโสตะ	Dibbasota
ทิพย์	Dibba
ทีฆนิกาย	Dīghanikāya
ที่กัลปนา	Kappanāvatthu*
ที่ธรณีสงฆ์	Saṅghikavatthu
ที่วัด	ârāmavatthu, Vihāravatthu
ที่สุด ดู อันตา.
ทุกกฏ	Dukkaña
ทุกข์	Dukkha
ทุกขตา	Dukkhatā
ทุกขนิโรธอริยสัจจ์	Dukkhanirodha Ariyasacca
ทุกขนิโรธคามินีปฏิปทาอริยสัจจ์	Dukkhanirodhagāminīpañipadā Ariyasacca
ทุกขเวทนา	Dukkhavedanā
ทุกขสมุทัยอริยสัจจ์	Dukkhasamudaya Ariyasacca
ทุกขอริยสัจจ์	Dukkha Ariyasacca
ทุกรกิริยา	Dukkarakiriyā
ทุคติ	Duggati
ทุจริต	Duccarita
ทุติยฌาน	Dutiyajjhāna
ทุพภาษิต	Dubbhāsita
ทุศีล	Dussīla
เทพ	Deva
เทวดา	Devatā
เทวตานุสติ	Devatānussati
เทวตาพลี	Devatābali
เทวทูต	Devadūta
เทวธรรม	Devadhamma
เทวรูป	Devarūpa*
เทวโลก	Devaloka
เทฺววาจิก	Dvevācika
เทศกาล	Desakāla
เทศน์มหาชาติ	Mahājātakadesanā*
เทศนา	Desanā
เทียน	Sitthadīpa
เทียนพรรษา	Vassadīpa, Vassikapadīpa
โทมนัส	Domanassa
โทษ	Dosa, Vajja, âdīnava
โทสะ	Dosa
โทสจริต	Dosacarita
โทสาคติ	Dosāgati
ไทยทาน	Deyyadāna
ไทยธรรม	Deyyadhamma
ธ
ธมกรก	Dhamakaraka
ธรณีสงฆ์ ดู ที่ธรณีสงฆ์.
ธรรม	Dhamma
ธรรมกถา	Dhammakathā
ธรรมกถึก	Dhammakathika
ธรรมขันธ์	Dhammakkhandha
ธรรมคุณ	Dhammaguṇa
ธรรมจริยา	Dhammacariyā
ธรรมจักร	Dhammacakka
ธรรมจักษุ	Dhammacakkhu
ธรรมจาริก	Dhammacārika
ธรรมเจดีย์	Dhammacetiya
ธรรมดา	Dhammatā
ธรรมทาน	Dhammadāna
ธรรมทูต	Dhammadūta*
ธรรมเทศนา	Dhammadesanā
ธรรมธร	Dhammadhara
ธรรมธาตุ	Dhammadhātu
ธรรมนิยาม	Dhammaniyāma
ธรรมบท	Dhammapada
ธรรมบรรยาย	Dhammapariyāya
ธรรมปฏิสัมภิทา ดู ธัมมปฏิสัมภิทา.
ธรรมยุต, ธรรมยุติกนิกาย	Dhammayuttika-nikā ya*
มหานิกาย.
ธรรมวาที	Dhammavādī
ธรรมวิจัย	Dhammavicaya
ธรรมวิชัย	Dhammavijaya
ธรรมวินัย	Dhammavinaya
ธรรมวิภาค	Dhammavibhāga
ธรรมสภา	Dhammasabhā
ธรรมสวนะ ดู ธัมมัสสวนะ.
ธรรมสากัจฉา	Dhammasākacchā
ธรรมเสนาบดี	Dhammasenāpati
ธรรมาธิปไตย	Dhammādhipateyya
ธรรมาธิษฐาน	Dhammādhiññhāna
ธรรมานุธรรมปฏิบัติ, ธัมมานุธัมมปฏิปัตติ	Dhammānudhammapañipatti
ธรรมารมณ์	Dhammārammaṇa
ธรรมาสน์	Dhammāsana
ธรรมีกถา	Dhammīkathā
ธัมม- ดู ธรรม-.
ธัมมกามตา	Dhammakāmatā
ธัมมจักกัปปวัตตนสูตร	Dhammacakkappavattanasutta
ธัมมเทสนามัย	Dhammadesanāmaya
ธัมมปฏิสัมภิทา	Dhammapañisambhidā
ธัมมสังคณี	Dhammasaṅgaṇi
ธัมมัญญุตา	Dhammaññutā
ธัมมัปปมาณิกา	Dhammappamāṇikā
ธัมมัสสวนะ	Dhammassavana
ธัมมัสสวนมัย	Dhammassavanamaya
ธัมมานุปัสสนา	Dhammānupassanā
ธัมมานุสติ	Dhammānussati
ธัมมาภิสมัย	Dhammābhisamaya
ธาตุ	Dhātu
ธาตุกถา	Dhātukathā
ธาตุกรรมฐาน ดู จตุธาตุววัตถาน.
ธาตุเจดีย์	Dhātucetiya
ธาตุมนสิการ ดู จตุธาตุววัตถาน.
ธาตุววัตถาน ดู จตุธาตุววัตถาน.
ธิติ	Dhiti
ธุดงค์	Dhutaṅga, Dhūtaṅga
ธุระ	Dhura
ธูป	Dhūpa
น
นมัสการ	Namakkāra
นรก	Naraka, Niraya
นิรยะ.
นวกภิกษุ	Navakabhikkhu
นวกรรม	Navakamma
นวนิต, นวนีตะ ดู เนยข้น
นักขัตฤกษ์	Nakkhattakīḷana
นักเทศก์ ดู ธรรมกถึก.
นักธรรม	Dhammika*
นักบวช	Pabbajita
นักพรต	Yati, Vatavantu
นักสวด	Dhammagāyaka*
นั่งขัดสมาธิ ดู ขัดสมาธิ.
นั่งคุกเข่า ดู คุกเข่า.
นั่งพับเพียบ ดู พับเพียบ.
นัจจคีตวาทิตวิสูกทัสสนะ	Naccagītavāditavisūkadassana
นัตถิกทิฏฐิ	Natthikadiññhi
นัตถิกวาท ก็ว่า.
นาค	Nāga
นาม	Nāma
นามรูป	Nāmarūpa
นาสนะ, นาสนา	Nāsana, ~nā
นํ้ ามนต์	Parittodaka*
นิกเขปบท	Nikkhepapada
นิกาย	Nikāya
นิครนถ์	Nigaṇñha
นิคหกรรม	Niggahakamma
นิจศีล	Niccasīla
นิตยภัต	Niccabhatta
นิทเทส	Niddesa
นิทาน	Nidāna
นินทา	Nindā
นิพพาน	Nibbāna
นิพพิทา	Nibbidā
นิมนต์, การ	Nimantana
นิมมานรดี	Nimmānarati
นิมิต, นิมิตต์	Nimitta
นิยสกรรม	Niyasakamma, Niyassa~
นิยาม	Niyāma
นิรยะ	Niraya
นิรุตติปฏิสัมภิทา	Niruttipañisambhidā
นิโรธ	Nirodha
นิวรณ์	Nīvaraṇa
นิวาต	Nivāta
นิสสยกรรม ดู นิยสกรรม.
นิสสรณวิมุตติ	Nissaraṇavimutti
นิสสัคคิยปาจิตตีย์	Nissaggiyapācittiya
นิสสัย	Nissaya
นิสัย	Nissaya
นิสัยมุตก์	Nissayamuttaka
เนกขัมมะ	Nekkhamma
เนกขัมมวิตก	Nekkhammavitakka
เนยข้น	Navanīta
เนยยะ	Neyya
เนยใส	Sappi
เนวสัญญานาสัญญายตนะ	Nevasaññānāsaññāyatana
บ
บรมธาตุ, พระ	Dhātu
บรรพชา	Pabbajjā
บรรพชิต	Pabbajita
บรรลุ	Pāpuṇāti; Sacchikaroti; Abhisameti
บริกรรม	Parikamma
บริขาร	Parikkhāra
บริจาค	Pariccāga
บริโภคเจดีย์	Paribhogacetiya
บริวาร	Parivāra
บริเวณวัด	âvāsapariveṇa
บริษัท	Parisā
บวช, การ	Pabbajjā, upasampadā
บังสุกุล	Paṁsukūla
บัณเฑาะก์	Paṇóaka
บัณเฑาะว์	Paṇóava
บัลลังก์	Pallaṅka
บาตร	Patta
บาป	Pāpa
บารมี	Pāramī
บาลี	Pāli
บำเพ็ญ	Pūreti, Bhāveti
บิณฑบาต	Piṇóapāta
บุคคลาธิษฐาน	Puggalādhiññhāna
บุญ	Puñña
บุญกิริยาวัตถุ	Puññakiriyāvatthu
บุถุชน ดู ปุถุชน.
บุพกรณ์	Pubbakaraṇa
บุพกรรม	Pubbakamma
บุพการี	Pubbakārī
บุพกิจ	Pubbakicca
บุพนิมิต	Pubbanimitta
บุพเปตพลี	Pubbapetabali
บุพเพนิวาสานุสติญาณ ดู ปุพเพ-.
บุพเพสันนิวาส	Pubbesannivāsa
บูชา	Pūjā
เบญจขันธ์	Pañcakkhandha
เบญจธรรม	Pañcadhamma
เบญจวัคคีย์	Pañcavaggiya
เบญจศีล	Pañcasīla
เบญจางคประดิษฐ์	Pañcappatiññhitena vandana
โบสถ์	Uposathagga, Uposathāgāra
ใบสีมา	Sīmānimittūparisilāpañña
ป
ปกรณ์	Pakaraṇa
ปฏิกูลสัญญา	Pañikūlasaññā
ปฏิคาหก	Pañiggāhaka
ปฏิฆะ	Pañigha
ปฏิจจสมุปบาท	Pañiccasamuppāda
ปฏิญญาตกรณะ	Pañiññātakaraṇa
ปฏิบัติ	Pañipatti
ปฏิปทา	Pañipadā
ปฏิปทาญาณทัสสนวิสุทธิ	Pañipadāñāṇadassanavisuddhi
ปฏิปัสสัทธิวิมุตติ	Pañipassaddhivimutti
ปฏิภาคนิมิตต์	Pañibhāganimitta
ปฏิภาณ	Pañibhāṇa
ปฏิภาณปฏิสัมภิทา	Pañibhāṇa-pañisambhidā
ปฏิมา	Pañimā
ปฏิรูปเทสวาสะ	Pañirūpadesavāsa
ปฏิโลม	Pañiloma
ปฏิเวธ	Pañivedha
ปฏิสนธิ	Pañisandhi
ปฏิสนธิขณะ	Pañisandhikkhaṇa
ปฏิสนธิวิญญาณ	Pañisandhiviññāṇa
ปฏิสวะ	Pañissava
ปฏิสังขรณ์	Pañisaṅkharaṇa
ปฏิสันถาร	Pañisanthāra
ปฏิสัมภิทา	Pañisambhidā
ปฏิสัมภิทามรรค	Pañisambhidāmagga
ปฏิสารณียกรรม	Pañisāraṇīyakamma
ปฐมฌาน	Pañhamajjhāna
ปฐมเทศนา	Pañhamadesanā
ปฐมยาม	Pañhamayāma
ปฐมสาวก	Pañhamasāvaka
ปฐวีธาตุ	Pañhavīdhātu
ปณิธาน	Paṇidhāna
ปทัฏฐาน	Padaññhāna
ปธาน	Padhāna
ปปัญจะ(Papañca) diversification; diffuseness;  multiplicity; proliferation.
ปมาทะ, ความประมาท	Pamāda
ปรจิตตวิชานน์ ดู เจโตปริยญาณ.
ปรทารกรรม	Paradārakamma
ปรนิมมิตวสวัตดี	Paranimmitavasavattī
ปรมัตถ์, ปรมัตถธรรม	Paramattha
ปรมัตถสัจจะ	Paramatthasacca
ปรโลก	Paraloka
ปรวาที	Paravādī
ประคต	Kāyabandhana
ประเคน	Sakkaccaṁ sahatthā deti
ประชุมเพลิง	Citakālimpana, Sarīrajjhāpana
ประทักษิณ	Padakkhiṇā
ประนมมือ ดู พนมมือ.
ประพรม	Abbhukkirati, Siñcati
ประมาท ดู ปมาทะ.
ปรางค์ ดู พระปรางค์.
ปราโมทย์	Pāmojja
ปริจจาคะ	Pariccāga
ปริเฉท	Pariccheda
ปริญญา	Pariññā
ปริญเญยยธรรม	Pariññeyyadhamma
ปริตร	Paritta
ปริเทวะ	Parideva
ปรินิพพาน	Parinibbāna
ปริพาชก	Paribbājaka
ปริยัติ	Pariyatti
ปริวาร	Parivāra
ปริวาส	Parivāsa
ปริสัญญุตา	Parisaññutā
ปลงอาบัติ	âpattidesanā
ปลงอายุสังขาร	âyusaṅkhāra-vossajjana
ปลาสะ	Palāsa
ปลิโพธ	Palibodha
ปวารณา	Pavāraṇā
ปสาทะ	Pasāda
ปหาตัพพธรรม	Pahātabbadhamma
ปหานะ	Pahāna
ปหานปธาน	Pahānapadhāna
ปักษ์	Pakkha
ปัจจยาการ	Paccayākāra
ปัจจเวกขณ์	Paccavekkhaṇa
ปัจจันตประเทศ	Paccantadesa
ปัจจัย	Paccaya
ปัจจัยสันนิสิตศีล	Paccayasannissitasīla
ปัจจุคมน์	Paccuggamana
ปัจจุทธรณ์	Paccuddharaṇa
ปัจจุปัฏฐาน	Paccupaññhāna
ปัจเจกพุทธะ	Paccekabuddha
ปัจฉิมพรรษา	Pacchimikā
ปัจฉาภัต	Pacchābhatta
ปัจฉาสมณะ	Pacchāsamaṇa
ปัจฉิมชาติ	Pacchimajāti
ปัจฉิมยาม	Pacchimayāma
ปัจฉิมวาจา	Pacchimavācā
ปัจฉิมโอวาท	Pacchimaovāda
ปัญจ- ดู เบญจ-.
ปัญจทวาร	Pañcadvāra
ปัญญา	Paññā
ปัญญาจักษุ	Paññācakkhu
ปัญญาวิมุตติ	Paññāvimutti
ปัญญาสัมปทา	Paññāsampadā
ปัญญาสิกขา ดู อธิปัญญาสิกขา.
ปัญหา	Pañhā
ปัฏฐาน	Paññhāna
ปัณณัตติวัชชะ	Paṇṇattivajja
ปัตตานุโมทนา	Pattānumodanā
ปัตตานุโมทนามัย	Pattānumodanāmaya
ปัตติทาน	Pattidāna
