นิวยอร์ก	new-yɔ̂ɔk
ญาติโยม	yâat-yoom
หยาดเยิ้ม	yàat-yə́əm
ญาติสายโลหิต	yâat-sǎay-loo-hìt
ญาติผู้ใหญ่	yâat-phûu-yày
ญาติพี่น้อง	yâat-phîi-nɔ́ɔng
หยาดเหงื่อ	yàat-ngʉ̀a
หยาดน้ำ	yàat-náam
ญาติมิตร	yâat-mít
ยาทาเล็บ	yaa-thaa-lép
ยาทา	yaa-thaa
หยาดฝน	yàat-fǒn
ญาติดีกัน	yâat-dii-kan
ญาติดี	yâat-dii
ญาติ	yâat
หยาด	yàat
ยาสูบ	yaa-sùup
หย่าศึก	yàa-sʉ̀k
ยาสีฟัน	yaa-sǐi-fan
ยาเสพติด	yaa-sèep-tìt
ยาเสพย์ติด	yaa-sèep-tìt
ยาสมุนไพร	yaa-sa-mǔn-phray
ยาระงับประสาท	yaa-rá-ngáp-prà-sàat
ยารักษาโรค	yaa-rák-sǎa-rôok
หย่าร้าง	yàa-ráang
หยาบหยาม	yàap-yǎam
ยาปราบศัตรูพืช	yaa-pràap-sàt-truu-phʉ̂ʉt
หยาบโลน	yàap-loon
หยาบกระด้าง	yàap-krà-dâang
หยาบกร้าน	yàap-krâan
หยาบคาย	yàap-khaay
ยาพิษ	yaa-phít
หยาบช้า	yàap-cháa
ยาปฏิชีวนะ	yaa-pà-tì-chii-wá-ná
หญ้าปากคอก	yâa-pàak-khɔ̂ɔk
หยาบ	yàap
ยานพาหนะ	yaan-phaa-hà-ná
ยานอนหลับ	yaa-nɔɔn-làp
หย่านม	yàa-nom
ญาณวิทยา	yaan-na-wít-tha-yaa
ญาณศาสตร์	yaan-na-sàat
ยานเกราะ	yaan-krɔ̀
ยานคาง	yaan-khaang
อย่างยุติธรรม	yàang-yút-tì-tham
อย่างย่อ	yàang-yɔ̂ɔ
อย่างยิ่งยวด	yàang-yîng-yûat
อย่างยิ่ง	yàang-yîng
อย่างใหญ่หลวง	yàang-yày-lǔang
อย่างหวุดหวิด	yàang-wùt-wìt
อย่างตรงไปตรงมา	yàang-trong-pay-trong-maa
